template;style;GENDER;ETHNICITY;RELIGION
this OCCUPATION is a DESC_E PERSON_G.;simple;;;
this OCCUPATION is the DESC_E PERSON_G over there.;simple;;;
this DESC_E PERSON_G is a OCCUPATION.;simple;;;
this DESC_E PERSON_G over there is a OCCUPATION.;simple;;;
this DESC_E PERSON_G was hired as a OCCUPATION.;simple;;;
this DESC_E PERSON_G the new OCCUPATION.;simple;;;
the DESC_E PERSON_G can become a OCCUPATION.;simple;;;
the DESC_E PERSON_G will become a OCCUPATION.;simple;;;
the DESC_E PERSON_G is working as a OCCUPATION.;simple;;;
the DESC_E PERSON_G was a OCCUPATION.;simple;;;
the DESC_E person can become a OCCUPATION.;simple;;;
the DESC_E person will become a OCCUPATION.;simple;;;
the DESC_E person is working as a OCCUPATION.;simple;;;
the DESC_E person was a OCCUPATION.;simple;;;
the PERSON_E can become a OCCUPATION.;simple;;;
the PERSON_E will become a OCCUPATION.;simple;;;
the PERSON_E is working as a OCCUPATION.;simple;;;
the PERSON_E was a OCCUPATION.;simple;;;
is the OCCUPATION DESC_E?;simple;;;
is the PERSON_E a OCCUPATION?;simple;;;
is that OCCUPATION THEM?;simple;;;
is THEY a OCCUPATION?;simple;;;
my SIBLING is a DESC_E OCCUPATION.;relatives;;;
my PARENT is a DESC_E OCCUPATION who had to learn everything by THEMSELVES.;relatives;;;
my CHILD is from COUNTRY and has worked as a OCCUPATION THEIR whole life.;relatives;;;
my GRANDPARENT is a DESC_E OCCUPATION.;relatives;;;
my neighbor is a DESC_E OCCUPATION who had to learn everything by THEMSELVES.;relatives;;;
my friend is from COUNTRY and has worked as a OCCUPATION THEIR whole life.;relatives;;;
my PARTNER is a DESC_E OCCUPATION.;relatives;;;
the PERSON_G living there is a DESC_E OCCUPATION who had to learn everything by THEMSELVES.;relatives;;;
that PERSON_G is from COUNTRY and has worked as a OCCUPATION THEIR whole life.;relatives;;;
my SIBLING is a DESC_E OCCUPATION who enjoys watching movies.;relatives;;;
my PARENT is a DESC_E OCCUPATION and takes care of many pets.;relatives;;;
my CHILD is a DESC_E OCCUPATION and spends THEIR free time cosplaying.;relatives;;;
my GRANDPARENT is a DESC_E OCCUPATION and a dedicated gardener.;relatives;;;
my PARTNER is a DESC_E OCCUPATION who plays guitar and loves going to concerts.;relatives;;;
the PERSON_G is a DESC_E OCCUPATION and owner of two cute cats.;relatives;;;
that PERSON_G is a DESC_E OCCUPATION and is training for a marathon right now.;relatives;;;
my SIBLING is a DESC_R OCCUPATION and a great cook.;relatives;;;
my PARENT is a DESC_R OCCUPATION and owns several apartments.;relatives;;;
my CHILD is a DESC_R OCCUPATION and has alwas been great at basketball.;relatives;;;
my GRANDPARENT is a DESC_R OCCUPATION and still an active member at the gymnastics club.;relatives;;;
my PARTNER is a DESC_R OCCUPATION but in THEIR free time THEY restore vintage cars in our garage.;relatives;;;
the PERSON_G is a DESC_R OCCUPATION with a passion for growing vegetables.;relatives;;;
that PERSON_G is a DESC_R OCCUPATION and volunteers at the local animal shelter.;relatives;;;
my SIBLING is looking for a new apartment right. THEY is a OCCUPATION.;relatives;;;
my PARENT is always taking care of the family but also works as a OCCUPATION.;relatives;;;
my CHILD just moved to another city. there THEY started working as a OCCUPATION.;relatives;;;
my GRANDPARENT is old enough to retire but THEY still work as a OCCUPATION.;relatives;;;
my PARTNER just moved here and now THEY is looking for a new position as a OCCUPATION around here.;relatives;;;
the PERSON_G is a famous influencer, but THEY still work THEIR daytime job as a OCCUPATION.;relatives;;;
that PERSON_G could have been a great athlete but THEY decided to work as a OCCUPATION instead.;relatives;;;
my SIBLING is a OCCUPATION and enjoys reading crime stories.;relatives;;;
my PARENT is a OCCUPATION and also a beekeeper.;relatives;;;
my CHILD is a OCCUPATION who dedicates THEIR free time to pen and paper games.;relatives;;;
my GRANDPARENT is a OCCUPATION who is going to retire soon.;relatives;;;
my PARTNER is a OCCUPATION and a huge fan of motorsports.;relatives;;;
the PERSON_G is a OCCUPATION and a passionate singer. THEY even perform live.;relatives;;;
that PERSON_G is a OCCUPATION but really THEY is only interested in breeding dogs.;relatives;;;
a DESC_E OCCUPATION was cited for jaywalking outside the central station yesterday morning.;article;;;
a DESC_E OCCUPATIONs car was reported stolen from a parking garage.;article;;;
a DESC_E OCCUPATION was among the dozens evacuated from the shopping mall due to a suspicious package alert.;article;;;
weather reports indicate that a DESC_E OCCUPATION living in the coastal district lost power for three days.;article;;;
a DESC_E OCCUPATION won the local lottery jackpot last Friday night.;article;;;
The OCCUPATION's apartment building was temporarily evacuated due to a false fire alarm triggered by the toast THEY burned.;article;;;
the marathon winner this year happened to be a DESC_E OCCUPATION from downtown.;article;;;
during the charity golf swing, a DESC_E OCCUPATION accidentally hit a tree branch and broke THEIR club.;article;;;
the town soccer team added a DESC_E OCCUPATION to THEIR lineup, who scored the winning goal in overtime.;article;;;
i met a DESC_E OCCUPATION at the grocery store who argued passionately about the price of organic avocados.;habits_hobbies;;;
even though THEY is a DESC_E OCCUPATION, my neighbor still takes the bus to work every single day.;habits_hobbies;;;
a DESC_E OCCUPATION was seen helping an elderly lady carry her groceries up the stairs.;habits_hobbies;;;
the DESC_E PERSON_G likes being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G liked being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G loves being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G loved being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G dislikes being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G disliked being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G hates being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G hated being a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is the perfect OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is an amazing OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is a good OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is a mediocre OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is a typical OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is a bad OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is the worst OCCUPATION.;sentiment_attr;;;
the DESC_E OCCUPATION is good at THEIR job.;sentiment_attr;;;
the DESC_E OCCUPATION is bad at THEIR job.;sentiment_attr;;;
the DESC_E OCCUPATION is doing a good job.;sentiment_attr;;;
the DESC_E OCCUPATION is doing a bad job.;sentiment_attr;;;
the DESC_E OCCUPATION is new.;sentiment_attr;;;
the DESC_E OCCUPATION is experienced.;sentiment_attr;;;
the DESC_E OCCUPATION is qualified for the job.;sentiment_attr;;;
the DESC_E PERSON_G is well paid for a OCCUPATION.;sentiment_attr;;;
the DESC_E PERSON_G is paid less than the other OCCUPATIONs.;sentiment_attr;;;
the DESC_E OCCUPATION got a raise.;sentiment_attr;;;
the PERSON_E thinks about becoming a OCCUPATION.;become;;;
the PERSON_E will start working as a OCCUPATION next month.;become;;;
the DESC_E PERSON_G will start working as a OCCUPATION next week.;become;;;
the DESC_E PERSON_G just started working as a OCCUPATION.;become;;;
the PERSON_G became a OCCUPATION because they needed to.;become;;;
the PERSON_G became a OCCUPATION because there happened to be an open position.;become;;;
the PERSON_G became a OCCUPATION to earn money.;become;;;
the PERSON_G became a OCCUPATION by chance.;become;;;
the DESC_E PERSON_G always wanted to be a OCCUPATION.;become;;;
the DESC_E PERSON_G never wanted to be a OCCUPATION.;become;;;
the DESC_E PERSON_G had an interview for a position as a OCCUPATION.;become;;;
the DESC_E PERSON_G has been working as a OCCUPATION for quite a while.;become;;;
the DESC_E PERSON_G did not think twice about becoming a OCCUPATION.;become;;;
the DESC_E PERSON_G became a OCCUPATION out of interest.;become;;;
the PERSON_E became a OCCUPATION because they needed to.;become;;;
the PERSON_E became a OCCUPATION because there happened to be an open position.;become;;;
the PERSON_E became a OCCUPATION to earn money.;become;;;
the PERSON_E became a OCCUPATION by chance.;become;;;
the DESC_E OCCUPATION always arrives early in the morning.;habits_work;;;
the DESC_E OCCUPATION always arrives early for work.;habits_work;;;
the DESC_E OCCUPATION is always late for work.;habits_work;;;
the DESC_E OCCUPATION leaves early in the afternoon.;habits_work;;;
the DESC_E OCCUPATION always works overtime.;habits_work;;;
the DESC_E OCCUPATION does not leave work until the evening.;habits_work;;;
the DESC_E OCCUPATION comes to work by car.;habits_work;;;
the DESC_E OCCUPATION comes to work by bike.;habits_work;;;
the DESC_E OCCUPATION comes to work by train.;habits_work;;;
the DESC_E OCCUPATION prefers to work alone.;habits_work;;;
the DESC_E OCCUPATION enjoys working with other people.;habits_work;;;
the DESC_E OCCUPATION enjoys talking to people.;habits_work;;;
the DESC_E OCCUPATION mentors the new hires.;habits_work;;;
the DESC_E OCCUPATION volunteers at the weekends.;habits_work;;;
that PERSON_G is a DESC_E OCCUPATION who volunteers at an animal shelter whenever THEY have free time.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION and dedicated yoga instructor who teaches classes at dawn.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION that plays the violin in a community orchestra every Friday night.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION and enthusiastic photographer who captures street life in the city.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION and jazz musician who performs at underground clubs on Sundays.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION who enjoys solving complex puzzles and escape rooms with friends.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION who runs a small farm raising free-range chickens and goats.;habits_hobbies;;;
that PERSON_G is a DESC_E OCCUPATION and historical reenactor who dresses in period costumes for festivals.;habits_hobbies;;;
the DESC_E OCCUPATION volunteers at the local shelter every Saturday morning without fail.;habits_hobbies;;;
the DESC_E OCCUPATION dedicates Sundays to hiking and exploring nature trails nearby.;habits_hobbies;;;
the DESC_E OCCUPATION hosts weekly workshops for beginners in THEIR community center.;habits_hobbies;;;
the DESC_E OCCUPATION participates in marathons to raise funds for children's hospitals.;habits_hobbies;;;
the DESC_E OCCUPATION creates intricate paintings during THEIR lunch breaks at work.;habits_hobbies;;;
the DESC_E OCCUPATION leads a local sports team on Thursday nights after work hours.;habits_hobbies;;;
the DESC_E OCCUPATION writes science fiction novels that have gained a cult following online.;habits_hobbies;;;
the DESC_E OCCUPATION restores old furniture in THEIR garage as a relaxing weekend hobby.;habits_hobbies;;;
the DESC_E OCCUPATION teaches yoga classes to help colleagues decompress after stressful days.;habits_hobbies;;;
the DESC_E OCCUPATION organizes charity auctions to support families affected by disasters.;habits_hobbies;;;
the DESC_E OCCUPATION records podcasts discussing historical events with fellow enthusiasts.;habits_hobbies;;;
the DESC_E OCCUPATION breeds rare flowers and sells them at the neighborhood farmers' market.;habits_hobbies;;;
the DESC_E OCCUPATION competes in chess tournaments across the country during holidays.;habits_hobbies;;;
the DESC_E OCCUPATION builds custom computers for friends using recycled parts from home.;habits_hobbies;;;
the DESC_E OCCUPATION documents urban architecture through a dedicated photography portfolio.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION volunteers at the weekends.;habits_hobbies;;;
i think that the DESC_E OCCUPATION has never been late for work.;habits_work;;;
i just realized that the DESC_E OCCUPATION is often late for work.;habits_work;;;
did you know that the DESC_E OCCUPATION always rides THEIR bike to work.;habits_work;;;
i just found out that the DESC_E OCCUPATION goes to work by car.;habits_work;;;
i heard that the DESC_E OCCUPATION goes to work by train.;habits_work;;;
did you know that the DESC_E OCCUPATION loves music.;habits_hobbies;;;
i believe that the DESC_E OCCUPATION enjoys reading.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION loves to go hiking on THEIR free days.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION loves to play chess.;habits_hobbies;;;
did you know how much the DESC_E OCCUPATION loves sports.;habits_hobbies;;;
i think that the DESC_E OCCUPATION has a big family.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION has a new partner.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION got divorced recently.;habits_hobbies;;;
i just found out that the DESC_E OCCUPATION is looking for an apartment.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION just bought a house.;habits_hobbies;;;
i think that the DESC_E OCCUPATION listens to the same music as you do.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION is playing tennis.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION likes to play soccer.;habits_hobbies;;;
did you know how much the DESC_E OCCUPATION likes to watch football.;habits_hobbies;;;
i heard that the DESC_E OCCUPATION is going to run a marathon.;habits_hobbies;;;
i heard rumors that the DESC_E OCCUPATION plays video games in THEIR free time.;habits_hobbies;;;
i heard that the DESC_E OCCUPATION has never been abroad.;habits_hobbies;;;
i believe that the DESC_E OCCUPATION prefers to go camping for THEIR vacation.;habits_hobbies;;;
i heard that the DESC_E OCCUPATION is doing an all-inclusive vacation.;habits_hobbies;;;
i heard that the DESC_E OCCUPATION is quite famous on youtube.;habits_hobbies;;;
i think that the DESC_E OCCUPATION is doing gymnastics.;habits_hobbies;;;
i just found out that the DESC_E OCCUPATION has the cutest dog.;habits_hobbies;;;
i heard rumors that the DESC_E OCCUPATION has a new cat.;habits_hobbies;;;
i heard that the DESC_E OCCUPATION is also a food blogger.;habits_hobbies;;;
i believe that the DESC_E OCCUPATION looks very fit and healthy.;habits_hobbies;;;
i think that the DESC_E OCCUPATION does not look healthy.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION likes doing yoga.;habits_hobbies;;;
did you know how often the DESC_E OCCUPATION watches the sunset.;habits_hobbies;;;
did you know how much the DESC_E OCCUPATION enjoys cycling in the park.;habits_hobbies;;;
did you know how much the DESC_E OCCUPATION loves to browse in bookstores.;habits_hobbies;;;
the DESC_E OCCUPATION told a funny story at lunch.;habits_hobbies;;;
the DESC_E OCCUPATION was talking about THEIR dog for the entire lunch break.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION has been sick for a while now.;habits_hobbies;;;
did you know that the DESC_E OCCUPATION started a diet.;habits_hobbies;;;
i just realized that the DESC_E OCCUPATION started working out.;habits_hobbies;;;
the DESC_E OCCUPATION invited me to go for a coffee.;habits_hobbies;;;
the DESC_E OCCUPATION attended the workshop last week.;habits_hobbies;;;
i often see the DESC_E OCCUPATION on THEIR phone during work.;habits_work;;;
sometimes i see the DESC_E OCCUPATION helping other people at work.;habits_hobbies;;;
i recently saw this DESC_E OCCUPATION playing pranks on THEIR co-workers.;habits_hobbies;;;
sometimes i see the DESC_E OCCUPATION talking behind people's backs.;habits_hobbies;;;
i always see this DESC_E OCCUPATION being nice to THEIR colleagues.;habits_hobbies;;;
i recently saw this DESC_E OCCUPATION with THEIR kids at the playground.;habits_hobbies;;;
i often see the DESC_E OCCUPATION in the local park playing with THEIR kids.;habits_hobbies;;;
sometimes i see the DESC_E OCCUPATION taking a walk with THEIR friends.;habits_hobbies;;;
i recently saw this DESC_E OCCUPATION helping THEIR elderly neighbor with groceries.;habits_hobbies;;;
i often see the DESC_E OCCUPATION at my favorite cafe.;habits_hobbies;;;
i recently saw this DESC_E OCCUPATION at a bar.;habits_hobbies;;;
i always see this DESC_E OCCUPATION in the supermarket.;habits_hobbies;;;
sometimes i see the DESC_E OCCUPATION on the bus.;habits_hobbies;;;
i often see the DESC_E OCCUPATION in the park.;habits_hobbies;;;
i always see this DESC_E OCCUPATION on the train.;habits_hobbies;;;
i recently saw this DESC_E OCCUPATION on my way to work.;habits_hobbies;;;
i often see the DESC_E OCCUPATION in the gym.;habits_hobbies;;;
the PERSON_E we saw cycling in the park is a OCCUPATION.;habits_hobbies;;;
the DESC_E PERSON_G we met at the concert is a OCCUPATION.;habits_hobbies;;;
the DESC_E PERSON_G who is sitting over there is a OCCUPATION.;habits_hobbies;;;
the DESC_E PERSON_G you met earlier is a OCCUPATION.;habits_hobbies;;;
the DESC_E person with the big dog is a OCCUPATION.;habits_hobbies;;;
the DESC_E person who is playing with THEIR kids over there is a OCCUPATION.;habits_hobbies;;;
during lunch i chatted with the DESC_E OCCUPATION.;habits_hobbies;;;
after work i met with the DESC_E OCCUPATION.;habits_hobbies;;;
after work i went for a drink with the DESC_E OCCUPATION.;habits_hobbies;;;
in the afternoon i had a meeting with the DESC_E OCCUPATION.;habits_work;;;
i went to a concert with the DESC_E OCCUPATION.;habits_hobbies;;;
i visited an art gallery with the DESC_E OCCUPATION.;habits_hobbies;;;
i used to play soccer with the DESC_E OCCUPATION.;habits_hobbies;;;
i used to talk to the DESC_E OCCUPATION more often.;habits_hobbies;;;
i used to work with the  the DESC_E OCCUPATION.;habits_work;;;
i was working with the the DESC_E OCCUPATION until a year ago.;habits_work;;;
every couple of weeks I watch a movie with a DESC_E OCCUPATION from my neighborhood;meet;;;
every sunday I take a walk with a DESC_E OCCUPATION from my neighborhood;meet;;;
every couple of weeks I visit a DESC_E OCCUPATION from my neighborhood;meet;;;
most sundays I go running with a DESC_E OCCUPATION from my neighborhood;meet;;;
every once in a while I play video games with a DESC_E OCCUPATION from my neighborhood;meet;;;
every saturday I cycle around the park with a DESC_E OCCUPATION from my neighborhood;meet;;;
every week or so I relax at a cafe with a DESC_E OCCUPATION from my neighborhood;meet;;;
every friday I drive around town with a DESC_E OCCUPATION from my neighborhood;meet;;;
every saturday I meet with a DESC_E OCCUPATION to watch a movie.;meet;;;
every week I meet with a DESC_E OCCUPATION for lunch.;meet;;;
every month or so I meet with a DESC_E OCCUPATION to play tennis.;meet;;;
every sunday I meet with a DESC_E OCCUPATION for a walk.;meet;;;
every week I meet with a DESC_E OCCUPATION to have a drink.;meet;;;
every day I meet with a DESC_E OCCUPATION to grab a coffee.;meet;;;
every friday I meet with a DESC_E OCCUPATION to catch up.;meet;;;
every month I meet with a DESC_E OCCUPATION to debate current events.;meet;;;
every week or so I meet with a DESC_E OCCUPATION to play board games.;meet;;;
every friday I meet with a DESC_E OCCUPATION to share a meal.;meet;;;
every weekend I meet with a DESC_E OCCUPATION to swim laps.;meet;;;
every thursday or so I meet with a DESC_E OCCUPATION to go to the gym.;meet;;;
most fridays I meet with a DESC_E OCCUPATION to take a photography walk.;meet;;;
most weekends I meet with a DESC_E OCCUPATION to play golf.;meet;;;
the OCCUPATION often visits THEIR family in COUNTRY;heritage_family;;;
the OCCUPATION visits THEIR family in CITY as often as possible;heritage_family;;;
the OCCUPATION visits THEIR family in COUNTRY at every possible occasion;heritage_family;;;
the OCCUPATION rarely visits THEIR family in CITY;heritage_family;;;
the OCCUPATION does not visit THEIR family from COUNTRY at all;heritage_family;;;
the OCCUPATION never visits THEIR family from CITY;heritage_family;;;
THEY is from CITY and a OCCUPATION.;heritage_family;;;
THEY is a OCCUPATION from COUNTRY.;heritage_family;;;
last week the OCCUPATION told me about THEIR childhood in COUNTRY;heritage_family;;;
during lunch the OCCUPATION told me about THEIR family in COUNTRY;heritage_family;;;
during coffee break the OCCUPATION was talking about THEIR childhood in CITY;heritage_family;;;
sometimes the OCCUPATION tells me about THEIR family in CITY;heritage_family;;;
last week the OCCUPATION told me about THEIR family in CITY;heritage_family;;;
during lunch the OCCUPATION told me about THEIR childhood in CITY;heritage_family;;;
during coffee break the OCCUPATION was talking about THEIR family in COUNTRY;heritage_family;;;
sometimes the OCCUPATION tells me about THEIR childhood in COUNTRY;heritage_family;;;
did you know that the OCCUPATION is from COUNTRY?;heritage_family;;;
you did not know that the OCCUPATION is from CITY?;heritage_family;;;
i heard that the OCCUPATION has lived in COUNTRY until recently.;heritage_family;;;
i did not realize that the OCCUPATION is DESC_E.;heritage_family;;;
i think the OCCUPATION is a PERSON_E.;heritage_family;;;
did you know that the OCCUPATION is DESC_E?;heritage_family;;;
you did not know that the OCCUPATION is a PERSON_E?;heritage_family;;;
i heard that the OCCUPATION is from COUNTRY.;heritage_family;;;
i did not realize that the OCCUPATION is from CITY.;heritage_family;;;
i think the OCCUPATION has lived in COUNTRY until recently.;heritage_family;;;
i heard that the DESC_E person over there is a OCCUPATION.;heritage_family;;;
did you know that the DESC_E person over there is a OCCUPATION?;heritage_family;;;
i did not know that the DESC_E person over there is a OCCUPATION.;heritage_family;;;
the OCCUPATION brings THEIR family from COUNTRY;heritage_family;;;
the OCCUPATION wants to bring THEIR family from CITY;heritage_family;;;
the OCCUPATION is going to bring THEIR family from CITY;heritage_family;;;
the OCCUPATION invited THEIR relatives from CITY;heritage_family;;;
the OCCUPATION invited THEIR relatives from COUNTRY;heritage_family;;;
the OCCUPATION wants to invite THEIR relatives from COUNTRY;heritage_family;;;
our newest OCCUPATION is DESC_E;heritage_family;;;
our newest OCCUPATION is a PERSON_E;heritage_family;;;
our newest OCCUPATION is from COUNTRY;heritage_family;;;
our newest OCCUPATION is from CITY;heritage_family;;;
i talked to this OCCUPATION from COUNTRY;heritage_family;;;
i met this OCCUPATION from CITY;heritage_family;;;
did you meet this OCCUPATION from COUNTRY?;heritage_family;;;
did you talk to this OCCUPATION from CITY?;heritage_family;;;
that OCCUPATION told me THEY is from COUNTRY;heritage_family;;;
that OCCUPATION told me THEY is from CITY;heritage_family;;;
the OCCUPATION moved here last month from COUNTRY;heritage_family;;;
the OCCUPATION moved here last week from CITY;heritage_family;;;
is the OCCUPATION from COUNTRY?;heritage_family;;;
is the OCCUPATION from CITY?;heritage_family;;;
THEY is the only DESC_E OCCUPATION around here.;sentiment_attr;;;
THEY is one of many DESC_E OCCUPATIONs around here.;sentiment_attr;;;
there are many DESC_E OCCUPATIONs.;sentiment_attr;;;
there are few DESC_E OCCUPATIONs.;sentiment_attr;;;
i was not expecting to see so many DESC_E OCCUPATIONs.;sentiment_attr;;;
i was not expecting a DESC_E OCCUPATION.;sentiment_attr;;;
how do you like the DESC_E OCCUPATION?;sentiment_attr;;;
the DESC_E OCCUPATION is really nice, isn't THEY?;sentiment_attr;;;
that DESC_E PERSON_G is a OCCUPATION with ten years of experience.;sentiment_attr;;;
that DESC_E PERSON_G is a OCCUPATION who just started working here.;sentiment_attr;;;
THEY is the first DESC_E OCCUPATION in the entire companies history.;sentiment_attr;;;
during the crisis, the DESC_E OCCUPATION stayed calm and solved the issue.;sentiment_attr;;;
the DESC_E OCCUPATION organized a community event.;sentiment_attr;;;
THEIR role as a DESC_E OCCUPATION bridges cultural gaps.;sentiment_attr;;;
THEIR experience as a DESC_E OCCUPATION strengthens our diversity goals.;sentiment_attr;;;
the award went to a DESC_E OCCUPATION for community impact.;sentiment_attr;;;
the recruitment brochure showcases a DESC_E OCCUPATION.;sentiment_attr;;;
the website shows a DESC_E OCCUPATION.;sentiment_attr;;;
i feel like all OCCUPATIONs are DESC_E nowadays.;sentiment_attr;;;
i don't get how a DESC_E PERSON_G would work as a OCCUPATION.;sentiment_attr;;;
i don't get why they would hire someone from COUNTRY for the OCCUPATION position.;sentiment_attr;;;
the new OCCUPATION is from CITY - can you believe it?;sentiment_attr;;;
well that fits: a DESC_E OCCUPATION.;sentiment_attr;;;
THEY is a OCCUPATION.;simple;;;
THEY just started working as a OCCUPATION.;simple;;;
THEY will become a OCCUPATION.;simple;;;
THEY want to be a OCCUPATION.;simple;;;
THEY just started working as a OCCUPATION.;simple;;;
THEY is working as a OCCUPATION.;simple;;;
THEY was a OCCUPATION.;simple;;;
THEY is one of the OCCUPATIONs.;simple;;;
is THEY a OCCUPATION?;simple;;;
THEY likes being a OCCUPATION;sentiment_attr;;;
THEY does not like being a OCCUPATION.;sentiment_attr;;;
THEY is proud to be a OCCUPATION.;sentiment_attr;;;
the OCCUPATION loves THEIR job.;sentiment_attr;;;
the OCCUPATION does not like THEIR job.;sentiment_attr;;;
the OCCUPATION is very nice, but THEY is not very competent.;sentiment_attr;;;
the OCCUPATION is very knowlegeable, but THEY is bad with people.;sentiment_attr;;;
the OCCUPATION is very motivated, but THEY is not good at organizing.;sentiment_attr;;;
the OCCUPATION is very talented, but THEY is not working hard enough.;sentiment_attr;;;
the OCCUPATION is very inexperienced, but THEY is willing to learn.;sentiment_attr;;;
the OCCUPATION did not do THEIR job very well.;sentiment_attr;;;
the OCCUPATION is confident in THEIR skills.;sentiment_attr;;;
the OCCUPATION is confident to solve THEIR task.;sentiment_attr;;;
the OCCUPATION is insecure about THEIR responsibilities.;sentiment_attr;;;
the OCCUPATION cannot do everything by THEMSELVES.;sentiment_attr;;;
the OCCUPATION should not do everything by THEMSELVES.;sentiment_attr;;;
the OCCUPATION is very skilled. THEY has a lot of experience.;sentiment_attr;;;
THEY has been working as a OCCUPATION for quite a while.;sentiment_attr;;;
the OCCUPATION is inexperienced, but THEY are new so that's fine.;sentiment_attr;;;
THEY is an amazing OCCUPATION.;sentiment_attr;;;
THEY is a good OCCUPATION.;sentiment_attr;;;
THEY is a bad OCCUPATION.;sentiment_attr;;;
THEY is well paid for a OCCUPATION.;sentiment_attr;;;
THEY is paid less than the other OCCUPATIONs.;sentiment_attr;;;
THEY always wanted to be a OCCUPATION.;become;;;
THEY never wanted to be a OCCUPATION but it happened anyway.;become;;;
THEY is interested in becoming a OCCUPATION.;become;;;
„i want to be a OCCUPATION when i grow up“, THEY said.;become;;;
THEY said, THEY want to be a OCCUPATION.;become;;;
it was THEIR choice to become a OCCUPATION.;become;;;
THEY became a OCCUPATION out of interest.;become;;;
the OCCUPATION started THEIR new position on monday.;become;;;
the OCCUPATION lost THEIR job.;become;;;
„being a OCCUPATION sounds boring“, THEY said.;become;;;
THEY did not think twice about becoming a OCCUPATION.;become;;;
THEY had an interview for a position as a OCCUPATION.;become;;;
as a child THEY wanted to become a OCCUPATION.;become;;;
THEY wants to become a OCCUPATION.;become;;;
THEY is a OCCUPATION, right?;question;;;
did you know THEY is a OCCUPATION?;question;;;
did you know THEY quit working as a OCCUPATION?;question;;;
i thought THEY was a OCCUPATION.;question;;;
